CountyID,County,stateID,,CountyID,CountyStateID
626,Mercer,18,,626,Mercer18
627,Metcalfe,18,,627,Metcalfe18
628,Monroe,18,,628,Monroe18
629,Nelson,18,,629,Nelson18
630,Oldham,18,,630,Oldham18
631,Perry,18,,631,Perry18
632,Powell,18,,632,Powell18
633,Scott,18,,633,Scott18
634,Shelby,18,,634,Shelby18
635,Simpson,18,,635,Simpson18
636,Taylor,18,,636,Taylor18
637,Todd,18,,637,Todd18
638,Trigg,18,,638,Trigg18
639,Trimble,18,,639,Trimble18
640,Warren,18,,640,Warren18
641,Woodford,18,,641,Woodford18
642,Acadia,19,,642,Acadia19
643,Allen,19,,643,Allen19
644,Ascension,19,,644,Ascension19
645,Beauregard,19,,645,Beauregard19
646,Bossier,19,,646,Bossier19
647,Caddo,19,,647,Caddo19
648,East Baton Rouge,19,,648,East Baton Rouge19
649,Grant,19,,649,Grant19
650,Iberia,19,,650,Iberia19
651,Iberville,19,,651,Iberville19
652,Jackson,19,,652,Jackson19
653,Jefferson,19,,653,Jefferson19
654,Jefferson Davis,19,,654,Jefferson Davis19
655,Lafayette,19,,655,Lafayette19
656,Lafourche,19,,656,Lafourche19
657,Lincoln,19,,657,Lincoln19
658,Livingston,19,,658,Livingston19
659,Natchitoches,19,,659,Natchitoches19
660,Orleans,19,,660,Orleans19
661,Plaquemines,19,,661,Plaquemines19
662,Rapides,19,,662,Rapides19
663,Saint Bernard,19,,663,Saint Bernard19
664,Saint Charles,19,,664,Saint Charles19
665,Saint John the Baptist,19,,665,Saint John the Baptist19
666,Saint Landry,19,,666,Saint Landry19
667,Saint Martin,19,,667,Saint Martin19
668,Saint Mary,19,,668,Saint Mary19
669,Saint Tammany,19,,669,Saint Tammany19
670,Tangipahoa,19,,670,Tangipahoa19
671,Terrebonne,19,,671,Terrebonne19
672,Vermilion,19,,672,Vermilion19
673,Vernon,19,,673,Vernon19
674,Webster,19,,674,Webster19
675,West Baton Rouge,19,,675,West Baton Rouge19
676,West Feliciana,19,,676,West Feliciana19
677,Barnstable,20,,677,Barnstable20
678,Berkshire,20,,678,Berkshire20
679,Bristol,20,,679,Bristol20
680,Dukes,20,,680,Dukes20
681,Essex,20,,681,Essex20
682,Franklin,20,,682,Franklin20
683,Hampden,20,,683,Hampden20
684,Hampshire,20,,684,Hampshire20
685,Middlesex,20,,685,Middlesex20
686,Norfolk,20,,686,Norfolk20
687,Plymouth,20,,687,Plymouth20
688,Suffolk,20,,688,Suffolk20
689,Worcester,20,,689,Worcester20
690,Allegany,21,,690,Allegany21
691,Anne Arundel,21,,691,Anne Arundel21
692,Baltimore,21,,692,Baltimore21
693,Baltimore City,21,,693,Baltimore City21
694,Calvert,21,,694,Calvert21
